Ticker,Price,52-Week-Low,52-Week-High,20-MA,50-MA,100-MA,150-MA,200-MA
DDOG,82.43000030517578,75.53500366210938,199.6750030517578,85.55099983215332,94.36380004882812,97.52369987487793,105.44436655680339,115.37407505035401
DE,385.8900146484375,283.8099975585937,446.760009765625,358.7096694946289,361.4155920410156,342.21647857666017,358.1272062174479,362.12497634887694
DG,244.97999572753903,183.25,262.2099914550781,239.9533721923828,242.61594421386718,243.08901931762696,238.57423838297527,230.75676567077636
DISH,14.06999969482422,12.550000190734863,44.970001220703125,14.117999982833862,16.157999992370602,17.340599994659424,20.741466623942056,23.43974995613098
DK,29.100000381469727,14.06999969482422,35.22999954223633,28.323999977111818,28.10669952392578,27.30509273529053,26.344538790384927,24.162639865875246
DKNG,13.06999969482422,9.770000457763672,51.29999923706055,14.49050006866455,16.241999950408935,14.990099983215332,15.154399948120117,16.65044997215271
DLB,65.0,61.54999923706055,96.8499984741211,65.69550037384033,70.80764625549317,72.75797565460205,73.8752416229248,75.19044839859009
DLTR,149.0,96.6999969482422,177.19000244140625,140.2305000305176,144.61439849853517,153.4975993347168,155.355133005778,151.22579990386964
DNA,2.490000009536743,2.0899999141693115,15.86400032043457,2.915500009059906,2.913600010871887,2.9318000054359437,3.0406666787465415,3.482800009250641
DOCU,48.470001220703125,42.130001068115234,288.5,49.46050052642822,55.873000106811524,61.68329986572266,70.93279973347981,81.60574981689453
DOMO,17.389999389648438,14.0,95.5,17.19049997329712,20.48239990234375,25.306599922180176,30.79039986928304,34.28174984931946
DQ,45.13999938964844,32.20000076293945,81.0999984741211,50.60350017547607,57.81320014953613,61.39499988555908,55.47606656392416,52.02884992599488
DT,33.7400016784668,29.40999984741211,80.12799835205078,34.885000228881836,37.022600173950195,38.5375,39.223066647847496,40.99165001869201
DTE,107.5,100.63999938964844,140.22999572753906,111.05200004577637,123.40831817626953,124.28969802856446,126.4281266784668,124.44329639434814
DUOL,76.87000274658203,60.5,191.82000732421875,93.01950073242188,95.07239990234375,95.8196501159668,92.9690333557129,91.87167495727539
DVN,75.23999786376953,35.54999923706055,79.4000015258789,68.40949974060058,67.51957214355468,63.2636540222168,62.77598248799642,59.789321956634524
DXC,28.780000686645508,22.649999618530277,39.650001525878906,26.755999851226807,26.387999992370606,28.437700119018555,29.24400010426839,30.189800100326536
DXCM,98.97000122070312,66.89250183105469,164.8625030517578,93.49250068664551,89.30900024414062,84.32952491760254,90.66134994506837,94.52023746490478
EA,125.66999816894533,109.23999786376952,146.72000122070312,121.06099967956543,124.09679306030273,126.63504653930664,126.28161646525065,127.17157470703125
EBAY,38.68000030517578,35.91999816894531,81.19000244140625,37.88400001525879,41.48109161376953,43.30769664764404,46.027967859903974,48.767862758636475
