,Ticker,ETF
240,EXPE,QQQJ
241,EXR,MTUM
242,FANG,"QQQJ,MTUM,FFTY"
243,FAST,QQQ
244,FATE,"ARKK,ARKG"
245,FDS,MTUM
246,FE,MTUM
247,FFIV,"QQQJ,HACK"
248,FICO,"PSJ,XSW"
249,FIS,XSW
250,FISV,"QQQ,XSW"
251,FIVN,XSW
252,FLT,XSW
253,FMC,MTUM
254,FNKO,FFTY
255,FORG,"XSW,HACK"
256,FOUR,XSW
257,FOX,QQQJ
258,FOXA,QQQJ
259,FROG,IZRL
260,FRSH,XSW
261,FSLR,"QQQJ,TAN"
262,FTCH,ARKF
263,FTNT,"QQQ,PTF,XSW,MTUM,HACK"
264,FVRR,IZRL
265,FWONK,"QQQJ,MTUM"
266,G,XSW
267,GBTC,ARKW
268,GD,MTUM
269,GDYN,XSW
270,GENI,ARKW
271,GH,QQQJ
272,GILD,QQQ
273,GILT,IZRL
274,GIS,MTUM
275,GLBE,ARKF
276,GM,ARKQ
277,GMDA,IZRL
278,GNK,FFTY
279,GOGO,PTF
280,GOOG,"QQQ,ARKQ,ARKX"
281,GOOGL,QQQ
282,GPK,FFTY
283,GPN,XSW
284,GRBK,FFTY
285,GRIN,FFTY
286,GRMN,ARKX
287,GTLB,XSW
288,GWRE,XSW
289,GWW,"MTUM,FFTY"
290,HAL,MTUM
291,HAS,QQQJ
292,HASI,TAN
293,HCKT,XSW
294,HCP,XSW
295,HEI,ARKX
296,HES,MTUM
297,HLAN,IZRL
298,HLGN,TAN
299,HLT,MTUM
300,HOLX,QQQJ
301,HON,"QQQ,ARKX"
302,HOOD,"ARKK,ARKF,ARKW"
303,HPK,FFTY
304,HPQ,"PTF,MTUM"
305,HRL,MTUM
306,HST,MTUM
307,HSY,MTUM
308,HUBS,XSW
309,HZNP,QQQJ
310,IAC,QQQJ
311,IBM,XSW
312,ICE,ARKF
313,ICLR,QQQJ
314,IDCC,XSW
315,IDXX,QQQ
316,IIIV,XSW
317,IIVI,PTF
318,ILMN,QQQ
319,IMXI,XSW
320,INCY,"QQQJ,ARKG"
321,INFA,XSW
322,INMD,IZRL
323,INTC,QQQ
324,INTU,"QQQ,XSW,ARKF"
325,INVZ,IZRL
326,IONS,ARKG
327,IOT,XSW
328,IOVA,ARKG
329,IRDM,"ARKQ,ARKX"
330,IRM,MTUM
331,IS,IZRL
332,ISRG,"QQQ,ARKQ"
333,IT,"XSW,MTUM"
334,ITRN,IZRL
335,JAMF,XSW
336,JBHT,QQQJ
337,JD,"QQQ,ARKF"
338,JKHY,"QQQJ,PSJ,XSW,MTUM"
339,JKS,TAN
340,JNJ,MTUM
341,JNPR,"MTUM,HACK"
342,JOBY,ARKX
343,K,MTUM
344,KD,XSW
345,KDP,QQQ
346,KHC,"QQQ,MTUM"
