Ticker,Price,52-Week-Low,52-Week-High,20-MA,50-MA,100-MA,150-MA,200-MA
MPC,95.6500015258789,56.08000183105469,114.3499984741211,100.27749938964844,93.83201171875,93.9024578857422,89.27828994750976,83.81967960357666
MPWR,417.9599914550781,348.0199890136719,580.0,454.24100189208986,462.89680053710936,439.69095001220705,439.9853196207682,443.84506622314456
MQ,7.260000228881836,6.050000190734862,37.900001525878906,7.545000004768371,8.549300022125244,8.98664999485016,9.560566682815551,10.88467500925064
MRK,87.72000122070312,70.88999938964844,95.72000122070312,87.40573654174804,88.90720764160156,88.8236759185791,85.53225072224934,83.04368438720704
MRNA,137.74000549316406,115.61000061035156,464.8500061035156,138.43349990844726,156.83999969482423,148.08409965515136,150.90399973551433,168.7781996154785
MRO,26.21999931335449,11.020000457763672,33.240001678466804,25.935000038146974,23.89028907775879,25.204552555084227,24.761732953389487,22.97994435787201
MRVL,46.349998474121094,41.06999969482422,93.8499984741211,48.906500053405765,51.048200073242185,52.18837917327881,57.048873875935875,62.88919122695923
MSFT,244.7400054931641,241.50999450683597,349.6700134277344,263.225,268.7171926879883,266.26131225585937,274.9623687744141,285.4298634338379
MSTR,206.33999633789062,134.08999633789062,891.3800048828125,241.59349975585937,265.0805993652344,246.72819946289061,310.95753356933596,359.3363510131836
MTCH,55.36999893188477,53.1870002746582,182.0,58.14400005340576,64.6991993713379,70.3498494720459,80.5977663675944,91.28412475585938
MTDR,56.79999923706055,27.60000038146973,67.77999877929689,59.401499366760255,55.26560501098633,54.22259754180908,53.43482129414876,50.252143421173095
MTLS,11.56999969482422,10.989999771118164,27.54999923706055,11.78149995803833,13.003799953460693,13.852199964523315,15.712533308664957,17.263949980735777
MTRX,4.860000133514403,4.239999771118163,11.760000228881836,5.598000025749206,5.364200000762939,5.588099994659424,6.264199997584025,6.5604999947547915
MTTR,4.050000190734863,3.509999990463257,37.599998474121094,4.48899998664856,4.544800014495849,4.673150012493133,5.575566665331523,8.460075005292893
MU,52.849998474121094,51.4000015258789,98.4499969482422,56.52849979400635,59.64479995727539,62.515188446044924,68.16622044881184,72.95843463897705
MUSA,276.8800048828125,145.24000549316406,303.0899963378906,290.7001525878906,283.37053619384767,261.29653411865235,240.0165609741211,227.55438316345214
MYNA,6.3480000495910645,,,7.493950033187867,8.092160034179688,8.294020009040832,8.981366682052613,9.805230023860931
MYPS,3.390000104904175,3.240000009536743,6.5999999046325675,3.5919999957084654,3.827400026321411,4.607750010490418,4.652900002797445,4.532174994945526
NABL,10.170000076293944,8.119999885559082,15.770000457763672,10.080000019073486,9.861000022888184,9.820700016021728,9.943066692352295,10.22090003490448
NCNO,35.2400016784668,23.940000534057614,79.43000030517578,33.369500160217285,33.50260017395019,33.26630006790161,36.86300011952718,40.276750078201296
NCR,23.20000076293945,21.63999938964844,45.91999816894531,30.83199996948242,31.64380027770996,32.19940002441406,34.7892667388916,36.12789999008179
NEM,43.709999084472656,40.27000045776367,86.37000274658203,42.6424783706665,46.07168296813965,55.78003135681152,61.68695162455241,60.79652484893799
NET,58.91999816894531,38.959999084472656,221.63999938964844,63.151000022888184,60.56620010375977,59.156100044250486,75.48326662699381,86.52824995040893
NEWR,58.31999969482422,41.65999984741211,129.69999694824222,61.640499877929685,61.296799926757814,56.115899925231936,59.60013323465983,70.55114976882935
NFE,49.11999893188477,19.170000076293945,63.06000137329102,57.022183418273926,51.95339897155762,47.26195877075195,42.97926289876302,38.024199123382566
NFLX,240.1300048828125,162.7100067138672,700.989990234375,228.33500061035156,222.42060028076173,204.34250030517578,255.55666697184245,324.021950302124
NI,28.82999992370605,23.649999618530273,32.59000015258789,30.142999935150147,29.79744987487793,29.631440391540526,29.70870184580485,28.983746042251585
NICE,200.0399932861328,179.1300048828125,319.8800048828125,212.02549896240234,212.82239990234376,205.31829956054688,211.1627330525716,228.01479934692384
NIO,20.149999618530273,11.670000076293945,44.27000045776367,19.499000072479248,20.009599990844727,19.06650001525879,19.541800015767414,21.94079999923706
NIU,4.980000019073486,4.880000114440918,30.10000038146973,5.637500047683716,6.274200048446655,7.202700033187866,8.264000008900961,10.139450011253357
NLOK,21.26000022888184,20.88999938964844,30.920000076293945,22.630500030517577,23.564281272888184,23.56356761932373,24.813892440795897,25.028423042297362
NNDM,2.490000009536743,2.1700000762939453,6.744999885559082,2.85,3.1664000034332274,3.050249993801117,3.17589999516805,3.350274991989136
NNOX,12.449999809265135,8.229999542236326,28.597999572753906,13.07800006866455,13.284400005340576,11.7243000125885,11.247866681416829,11.956450004577636
NOC,485.20001220703125,344.8900146484375,497.20001220703125,483.7414611816406,473.99877014160154,466.2354278564453,456.5194698079427,436.93461318969725
NOVA,27.36000061035156,12.470000267028807,46.4000015258789,26.183999824523926,24.578399925231935,21.608499965667725,21.46779993057251,22.366799960136415
NOW,425.7999877929688,406.4700012207031,707.5999755859375,448.9724975585938,458.87440002441406,462.05419921875,490.2284002685547,516.1389009094238
NRIX,15.5600004196167,7.519999980926514,37.42499923706055,16.004500102996825,16.496000003814697,13.691399993896484,13.920133317311604,16.589900012016297
NSIT,84.54000091552734,81.37000274658203,111.0199966430664,88.95049934387207,90.18259979248047,92.77169982910156,96.25853322347005,97.26279987335205
NTAP,68.68000030517578,61.2599983215332,96.81999969482422,72.29899940490722,71.094599609375,69.88211921691895,73.76787862141927,77.41753105163575
NTCT,32.610000610351555,26.01000022888184,37.68000030517578,32.003499794006345,32.882799949646,33.40320003509522,32.85480000813802,32.553649978637694
NTES,82.70999908447266,68.62000274658203,118.19000244140624,86.96648750305175,89.30851852416993,92.16186172485351,91.66148971557617,93.61972877502441
NTLA,65.70999908447266,37.08000183105469,180.593994140625,60.81750049591064,63.03880012512207,55.5381999206543,60.912399978637694,71.82554986953735
NTNX,23.1200008392334,13.4399995803833,44.5,20.76249990463257,17.86599994659424,18.216499996185302,20.773666674296063,23.087049980163574
NU,5.28000020980835,,,5.017500019073486,4.585199999809265,4.4362999939918515,5.514600005149841,
NUE,117.08000183105469,88.5,187.8999938964844,134.43450012207032,130.3649996948242,127.68267059326172,132.1901296488444,126.50717063903808
NVAX,30.40999984741211,28.25,277.79998779296875,33.2535002708435,45.89300006866455,48.17170000076294,56.30739999135335,75.50925002098083
