Ticker,Price,52-Week-Low,52-Week-High,20-MA,50-MA,100-MA,150-MA,200-MA,Sector,P/E,PEG,P/FCF,Sales Q/Q %,EPS this Y %,EPS next Y %,Death MACD,Golden MACD,MTUM-MA-25,MTUM-EMA-25,Weekly Death MACD,Weekly Golden MACD
GH,59.27999877929688,27.649999618530284,133.82000732421878,51.81549987792969,50.169200057983396,47.36710000991821,53.29826653798421,62.10915001869203,Healthcare | Diagnostics & Research | USA,,,,18.5,-53.8,-5.17,2022-08-17,2022-09-07,107.64510131546992,108.31791044852244,2022-05-02,2022-06-06
ARQQ,5.5900001525878915,4.980000019073486,41.52000045776367,5.972499966621399,5.862199993133545,6.424699983596803,9.380000012715657,12.469375019073489,Technology | Software - Infrastructure | United Kingdom,,,,,,0.26,2022-09-07,2022-08-31,102.2775689158032,97.7314408452648,2022-04-18,2022-06-06
CRM,162.58999633789062,150.47999572753906,311.75,170.5019989013672,174.86939910888668,173.3156996154785,184.2994661458333,199.9371497344971,Technology | Software - Application | USA,303.91,20.79,28.59,21.8,-66.3,5.65,2022-08-17,2022-07-20,99.38374026969791,98.01003301817232,2022-08-22,2022-05-30
URGN,7.889999866485597,4.849999904632568,19.65999984741211,7.925499963760376,8.221999959945679,7.3930999851226815,7.499733330408733,7.999700007438659,Healthcare | Biotechnology | USA,,,,27.7,15.9,-2.88,2022-08-17,2022-08-10,95.9538657549249,103.38489084527076,2022-08-22,2022-05-30
ALGN,263.1099853515625,225.8600006103516,737.4500122070312,261.33749923706057,264.82959991455084,274.1162998962402,335.3031336466472,397.2252489471435,Healthcare | Medical Devices | USA,33.71,0.78,53.15,-4.1,-56.8,10.45,2022-08-17,2022-09-09,101.84580889686113,98.26890758108456,2022-04-18,2022-05-30
OKTA,64.69999694824219,58.11999893188477,276.29998779296875,86.97399978637695,94.55579971313476,97.0428999328613,119.45466644287107,142.19729995727542,Technology | Software - Infrastructure | USA,,,276.64,43.2,-173.7,-0.38,2022-08-18,2022-08-03,91.92394930876844,92.5981396055768,2022-08-29,2022-05-30
KIND,3.259999990463257,,,3.2190000057220467,3.35420000076294,3.4495999908447263,4.293199987411499,5.205099995136262,Communication Services | Internet Content & Information | USA,,,,48.3,65.6,-0.29,2022-08-29,2022-08-24,94.39321821618195,96.03059857445338,2022-05-02,2022-05-30
ESTC,90.04000091552734,50.7400016784668,189.83999633789062,82.98350105285644,80.06219985961914,74.55569984436035,78.4782666015625,87.09330001831054,Technology | Software - Application | USA,,,,29.5,-48.4,0.29,2022-08-15,2022-09-09,109.49796941511651,107.76917121381969,2022-05-02,2022-05-30
IS,4.110000133514403,2.200000047683716,13.140000343322756,4.117999994754792,3.794800000190736,3.433699996471405,4.109533327420553,4.966449979543687,Technology | Software - Application | Israel,67.38,2.75,47.46,35.4,13.1,0.24,2022-08-12,2022-06-21,131.89545274983698,121.05530501634395,2022-05-02,2022-05-30
MODN,31.79999923706055,20.950000762939453,37.38999938964844,30.396499729156496,27.828599815368648,26.106699924468995,25.971733258565262,26.51474994659424,Technology | Software - Application | USA,,,44.52,10.2,-108.7,0.77,2022-08-24,2022-08-03,117.98748655335129,112.46430618004078,2022-05-02,2022-05-30
