Ticker,Price,52-Week-Low,52-Week-High,20-MA,50-MA,100-MA,150-MA,200-MA,Sector,P/E,PEG,P/FCF,Sales Q/Q %,EPS this Y %,EPS next Y %,Death MACD,Golden MACD,MTUM-MA-25,MTUM-EMA-25,Weekly Death MACD,Weekly Golden MACD
FMC,112.41999816894533,87.41999816894531,140.99000549316406,107.91061172485352,109.02658142089844,109.60186393737791,115.56545354207356,114.4267516708374,Basic Materials ,18.8,2.15,191.13,16.9,40.4,8.4,2022-09-15,2022-10-03,98.44555171564429,99.21134792705313,2022-05-09 00:00:00,2022-10-10 00:00:00
MRO,27.520000457763672,13.449999809265137,33.2400016784668,25.15649995803833,24.732996559143068,25.031730747222905,25.053117268880207,23.72694468975067,Energy ,6.52,0.36,5.78,101.8,165.5,4.26,2022-09-19,2022-10-04,105.23209223381885,103.43332076623167,2022-06-13 00:00:00,2022-10-10 00:00:00
RAMP,17.84000015258789,17.729999542236328,58.7400016784668,19.07150001525879,20.904400062561034,23.81760005950928,27.382533340454103,31.55414989471436,Technology ,,,21.94,19.5,63.6,0.71,2022-08-05,2022-09-08,85.73943756402845,87.14288183636344,2022-08-22 00:00:00,2022-10-10 00:00:00
SM,44.02000045776367,24.799999237060547,54.970001220703125,41.27099990844727,41.80219970703125,40.931899852752686,40.04316516876221,38.57535356521606,Energy ,6.55,0.08,3.32,76.0,104.4,10.41,2022-09-15,2022-10-04,101.25296128288984,103.35275292774756,2022-09-19 00:00:00,2022-10-10 00:00:00
UIS,8.789999961853027,7.230000019073486,27.299999237060547,8.375000023841858,9.526600046157837,10.901400017738345,13.38113336245219,14.945299999713898,Technology ,,,11.93,-0.4,-33.7,1.84,2022-09-26,2022-10-03,81.19991337482593,84.83871654074366,2022-08-22 00:00:00,2022-10-10 00:00:00
SLGC,2.8499999046325684,2.837300062179565,14.720000267028809,3.216500008106232,3.7592000150680542,4.48360000371933,5.330266668001811,6.344699991941452,Healthcare ,,,,-28.8,-64.8,-0.58,2022-09-20,2022-10-04,79.92966743241708,82.14291267598271,2022-09-26 00:00:00,2022-10-10 00:00:00
DVN,70.3499984741211,34.540000915527344,79.4000015258789,65.31300010681153,64.96515731811523,63.11315498352051,61.69059463500977,58.36841335296631,Energy ,8.92,0.24,8.89,132.8,161.7,9.64,2022-09-02,2022-10-04,102.07121032891872,103.2928339633796,2022-09-19 00:00:00,2022-10-10 00:00:00
MRVL,40.29999923706055,39.20000076293945,93.8499984741211,44.95277118682861,49.145795364379886,50.06488140106201,54.56425554911296,59.5916462135315,Technology ,,,54.88,41.0,-27.4,2.8,2022-09-15,2022-10-03,86.62317886712557,92.72085069141934,2022-10-07 00:00:00,2022-10-07 00:00:00
CHRW,94.13999938964844,85.80000305175781,121.2300033569336,100.72499961853028,108.73433044433594,105.37100608825683,104.84410013834636,103.4937212753296,Industrials ,11.31,1.88,,22.9,69.6,6.52,2022-08-26,2022-07-19,90.30899092129933,95.82439558052788,2022-10-07 00:00:00,2022-10-07 00:00:00
LULU,289.8500061035156,251.509994506836,485.8299865722656,311.4910003662109,316.84460021972654,301.8688003540039,314.76460001627606,320.4101499938965,Consumer Cyclical ,33.94,1.56,161.94,28.8,66.3,11.41,2022-09-20,2022-09-07,100.61674210431528,101.32270473296713,2022-10-07 00:00:00,2022-10-07 00:00:00
LPLA,243.9900054931641,140.64999389648438,247.0,229.9175003051758,226.3044061279297,207.0939179992676,199.4932915242513,192.59742362976075,Financial ,39.38,1.88,133.2,7.4,-3.9,17.61,2022-09-16,2022-10-04,102.8091821256953,106.48277972811648,2022-10-07 00:00:00,2022-10-07 00:00:00
LBTYA,15.859999656677246,15.579999923706056,30.420000076293945,16.92750005722046,19.255400123596196,20.718800086975097,21.95406670888265,23.25270001411438,Communication Services ,2.19,,4.42,-41.3,937.1,0.1,2022-08-19,2022-10-04,82.51751976787384,87.37852182825613,2022-10-07 00:00:00,2022-10-07 00:00:00
