Ticker,Price,52-Week-Low,52-Week-High,20-MA,50-MA,100-MA,150-MA,200-MA,Sector,P/E,PEG,P/FCF,Sales Q/Q %,EPS this Y %,EPS next Y %,Death MACD,Golden MACD,MTUM-MA-25,MTUM-EMA-25,Weekly Death MACD,Weekly Golden MACD
AZRE,5.380000114440918,3.259999990463257,25.301000595092773,5.416000044345855,8.671599979400634,10.78710000038147,12.786666666666669,13.59494999408722,Utilities ,,,,27.2,-66.3,0.96,2022-08-19,2022-09-14,49.73243950414997,66.43993576405391,2022-08-22,2022-09-29
NIU,4.130000114440918,4.079999923706055,27.809999465942383,4.992000007629395,5.8480000400543215,6.793000025749207,7.754933341344198,9.479700009822846,Consumer Cyclical ,21.4,7.18,,-12.4,32.0,0.72,2022-08-29,2022-08-25,80.19641170336428,82.1628199278191,2022-08-29,2022-09-29
APP,19.68000030517578,19.34000015258789,116.08999633789062,23.41849994659424,28.77799991607666,32.513199939727784,37.96719997406006,47.56400002479553,Technology ,,,25.32,-39.0,126.6,1.07,2022-09-20,2022-09-08,70.8856589844411,79.25858751457015,2022-09-12,2022-09-29
MARA,10.770000457763672,5.199999809265137,83.44999694824219,11.456000089645386,12.804800033569336,10.682800045013428,14.87060000737508,18.24325001239777,Financial ,,,,-15.0,-183.7,0.89,2022-09-15,2022-09-12,83.81894573365895,106.8585756493028,2022-09-19,2022-09-29
UIS,7.639999866485596,7.230000019073486,27.299999237060547,8.513000082969665,10.173400049209596,11.13060000896454,13.959066712061563,15.327400009632113,Technology ,,,10.41,-0.4,-33.7,1.84,2022-09-26,2022-09-09,75.4595454377616,82.5770636009566,2022-08-08,2022-09-29
UPLD,8.34000015258789,7.880000114440918,37.15999984741211,9.194000005722046,10.474000015258788,12.121900024414062,13.607166690826416,14.915875010490415,Technology ,,,6.74,5.1,0.1,1.72,2022-09-01,2022-08-04,83.41397012349145,84.17428823832256,2022-08-29,2022-09-29
ESMT,20.530000686645508,,,19.93500003814697,20.220400047302245,19.393100051879884,19.796200002034507,20.22960000991821,Technology ,,,134.54,42.9,-33.5,0.22,2022-08-19,2022-09-29,98.38383534250907,101.54621674792456,2022-09-12,2022-09-29
LAW,10.760000228881836,9.270999908447266,58.52000045776367,12.14550008773804,17.196800022125245,19.52429999351501,23.76579994837443,26.279399905204773,Technology ,,,,14.2,-2.9,-1.01,2022-08-12,2022-09-07,60.86194665126385,75.70161892294077,2022-08-08,2022-09-29
ZM,74.47000122070312,72.95999908447266,291.3099975585937,78.27649993896485,92.1600003051758,98.74979988098144,102.7067998758952,117.23939998626707,Communication Services ,23.03,,17.15,-44.4,99.6,3.71,2022-08-17,2022-09-12,75.4151642926033,84.115985788605,2022-08-15,2022-09-29
CGEN,0.6739000082015991,0.6739000082015991,7.480000019073486,0.9451949805021286,1.268077996969223,1.577238993048668,2.0170259948571525,2.4454694971442223,Healthcare ,,,,,-8.9,-0.51,2022-09-22,2022-09-13,64.76629537922553,71.41618874860512,2022-08-01,2022-09-29
TBLA,1.8600000143051147,1.840000033378601,10.270000457763672,2.2225000143051146,2.524400005340576,2.7449999952316286,3.528933324813843,4.361950001716614,Communication Services ,25.83,,17.42,4.1,-185.2,0.34,2022-08-19,2022-08-08,83.85063617407963,85.92043301543396,2022-09-19,2022-09-29
OKTA,56.79999923706055,52.75,272.2699890136719,59.31299953460693,83.34979972839355,87.2521000289917,107.770599899292,130.79274988174438,Technology ,,,266.01,43.2,-173.7,-0.29,2022-08-18,2022-09-27,65.78041842070988,77.55728467864373,2022-08-29,2022-09-29
SCPL,11.619999885559082,10.602999687194824,22.290000915527344,11.197499990463257,12.216600036621092,12.83620005607605,12.88540002187093,12.915675005912782,Communication Services ,15.87,1.05,9.31,4.0,-9.9,1.09,2022-08-23,2022-09-19,87.34086629973139,91.2248606687292,2022-08-15,2022-09-29
ABST,11.5600004196167,6.789999961853027,12.40999984741211,10.90199990272522,10.48937313079834,9.538915252685548,9.079957262674968,8.92856698036194,Technology ,,,23.88,65.1,-750.1,-0.02,2022-09-01,2022-09-28,111.63529646391996,109.9912369541724,2022-09-12,2022-09-29
FROG,21.21999931335449,16.356000900268555,42.33000183105469,20.501000213623048,22.23200008392334,21.11690000534057,22.079533360799157,23.307049999237066,Technology ,,,444.74,39.2,-563.4,,2022-09-16,2022-09-28,87.91938657705161,94.87274136414526,2022-08-22,2022-09-29
AUDC,22.030000686645508,19.6200008392334,37.34999847412109,22.03050012588501,22.44061252593994,22.22205326080322,23.27472536722819,25.130646953582765,Technology ,23.56,2.62,68.23,12.9,20.5,1.67,2022-09-15,2022-09-09,96.65770641174691,98.0703558936016,2022-09-19,2022-09-29
RMBS,25.770000457763672,20.0,33.75,25.20300006866455,25.868600120544432,24.46020009994507,25.64346674601237,25.982950048446654,Technology ,,,14.26,42.6,144.7,1.7,2022-08-23,2022-09-28,97.14533851995594,101.35403898575277,2022-08-29,2022-09-29
IDXX,331.8099975585937,318.5,689.9500122070312,344.86800079345704,367.3855987548829,364.1676989746094,411.4758660888672,446.5351997375489,Healthcare ,42.89,4.69,61.4,4.2,28.3,9.64,2022-09-16,2022-09-09,89.31162185946215,94.02063200896885,2022-09-12,2022-09-29
LOGI,46.2599983215332,44.5099983215332,100.77999877929688,47.308187103271486,51.46354751586914,53.11821178436279,58.64070782979329,63.77823205947876,Technology ,14.02,1.56,27.73,-11.6,-31.4,4.18,2022-09-20,2022-09-28,86.8514001941844,91.24282902360645,2022-08-22,2022-09-29
DOMO,18.68000030517578,16.40999984741211,95.5,19.34199981689453,25.31199989318848,27.77139986038208,33.89273316701253,36.9874498462677,Technology ,,,,20.2,-10.4,-0.83,2022-09-22,2022-09-27,64.64935688588663,76.8468832387308,2022-08-22,2022-09-26
TWOU,6.420000076293945,5.659999847412109,35.72999954223633,7.037000036239624,8.068599977493285,9.010400013923643,9.808366657892863,11.439350030422212,Consumer Defensive ,,,2568.96,1.8,19.0,0.38,2022-09-21,2022-09-07,79.1047259606795,84.5075780218699,2022-09-19,2022-09-26
EXAS,33.16999816894531,31.6200008392334,107.1500015258789,36.95849962234497,40.26219989776612,43.15430006027222,50.92866667429606,57.31349989891052,Healthcare ,,,,20.0,36.2,-3.34,2022-09-22,2022-09-07,84.96445138364966,89.36654644817915,2022-09-19,2022-09-26
EXPE,94.20999908447266,88.69999694824219,217.72000122070312,101.19150047302246,104.08060043334962,107.77610038757324,132.58993321736654,145.29604984283446,Consumer Cyclical ,44.93,1.97,4.91,50.7,90.5,9.37,2022-09-19,2022-09-12,95.96942852351094,96.06954892073206,2022-09-19,2022-09-26
CVLT,53.09000015258789,50.2599983215332,78.05999755859375,52.07650032043457,55.34980010986328,58.44579998016357,60.2256665802002,61.940299892425536,Technology ,106.18,10.62,14.83,8.0,207.3,3.05,2022-08-24,2022-09-19,91.03710193953896,92.61994186420496,2022-07-11,2022-09-26
U,31.770000457763672,29.09000015258789,210.0,36.76900043487549,41.96320007324218,40.69219997406006,56.32446678161621,71.97290006637573,Technology ,,,1087.04,8.6,-82.9,-0.03,2022-08-22,2022-07-27,87.22348064040867,91.90246692206404,2022-09-12,2022-09-26
TOST,17.469999313354492,,,19.09250011444092,18.149999980926516,16.35729995727539,17.36946658452352,19.947399926185607,Technology ,,,,58.9,-237.4,-0.24,2022-09-16,2022-09-09,112.06098225332732,109.75764153500116,2022-09-29,2022-09-26
CRNC,16.34000015258789,15.920000076293944,114.8499984741211,17.920499897003175,21.754399909973145,24.738499965667724,27.538133341471354,36.51214988708496,Technology ,,,84.61,-8.1,332.3,0.83,2022-09-21,2022-09-27,73.74096083260403,81.21991576820676,2022-08-15,2022-09-26
CDNA,17.100000381469727,15.65999984741211,75.91999816894531,17.767999935150147,20.85459999084473,22.289300022125243,26.536933403015137,30.338800020217896,Healthcare ,,,,8.6,-45.8,-0.11,2022-09-16,2022-09-28,78.29642264852359,84.6671642020327,2022-08-22,2022-09-26
BTRS,9.279999732971191,3.950000047683716,11.010000228881836,6.70799994468689,6.706600008010864,5.867800016403198,6.180600010553996,6.321850011348724,Technology ,,,,22.6,-258.6,-0.23,2022-08-19,2022-09-28,101.6613145804297,106.97135158531906,2022-09-12,2022-09-26
BMY,71.70999908447266,53.220001220703125,80.58999633789062,70.37400016784667,71.94999984741212,73.71723754882812,73.29765808105469,70.74523202896118,Healthcare ,23.83,5.13,15.82,1.6,178.0,8.02,2022-08-24,2022-09-12,94.90387209028582,96.5627617562768,2022-06-27,2022-09-26
BLI,2.900000095367432,2.809999942779541,27.18400001525879,3.409500002861023,4.08239999294281,4.478399991989136,5.075833339691162,6.750125012397766,Healthcare ,,,,-0.5,-60.1,-0.81,2022-09-19,2022-09-09,74.90762632459423,81.5810454266654,2022-09-19,2022-09-26
WDAY,156.25999450683594,134.10000610351562,307.8099975585937,157.4534996032715,160.10600036621094,156.8552001953125,180.08946685791017,197.4466500854492,Technology ,,,25.85,21.9,111.9,3.96,2022-09-13,2022-09-12,98.8360767651504,99.46837517626004,2022-09-12,2022-09-26
BIIB,264.2799987792969,187.16000366210932,304.2099914550781,209.62549743652343,210.61279876708983,207.3990991210937,207.81139923095705,212.85894943237304,Healthcare ,18.87,,15.14,-6.7,-58.1,15.7,2022-09-23,2022-09-28,97.15723683867198,99.78816419214428,2022-09-19,2022-09-26
FTNT,49.630001068115234,47.369998931884766,74.35399627685547,50.42350006103516,52.83520004272461,55.117380027771,57.899453252156576,59.26803998947143,Technology ,60.9,2.59,35.61,28.6,24.7,1.31,2022-09-23,2022-09-29,91.03774595942788,93.71209706309553,2022-09-12,2022-09-26
GH,53.720001220703125,27.64999961853028,132.8300018310547,54.50550022125244,52.27600021362305,46.36170003890991,51.9578666305542,59.10745001792908,Healthcare ,,,,18.5,-53.8,-5.14,2022-09-20,2022-09-07,105.63739596629708,107.23307960451142,2022-09-19,2022-09-26
HCP,32.4900016784668,,,30.19350032806397,34.795400047302245,33.82790004730224,38.84880002339681,47.0942000579834,Technology ,,,,51.7,-241.2,-1.02,2022-08-19,2022-09-28,83.9961883971529,91.65674010312166,2022-08-29,2022-09-26
MTTR,3.900000095367432,3.509999990463257,37.59999847412109,4.155499982833862,4.5310000133514405,4.5193500065803525,5.379366666475931,7.476874986886978,Technology ,,,,-3.4,-692.1,-0.38,2022-08-19,2022-07-05,90.08601051476204,94.55191570235554,2022-09-19,2022-09-26
RXRX,10.739999771118164,4.920000076293945,27.64999961853028,11.575,10.528000011444092,8.846200013160706,8.29773333867391,9.719850001335145,Healthcare ,,,,208.0,-177.3,-1.55,2022-09-19,2022-09-08,119.35247339503508,117.26718297380128,2022-09-29,2022-09-26
RAMP,18.459999084472656,18.1299991607666,58.7400016784668,19.48300008773804,22.132400131225587,24.335400066375733,28.48480000813802,32.54034990310669,Technology ,,,22.96,19.5,63.6,0.71,2022-08-05,2022-09-08,80.76343952404564,85.640224758614,2022-09-19,2022-09-26
PYPL,88.69999694824219,67.58000183105469,279.95001220703125,92.28975067138671,92.65320068359377,84.98450050354003,91.15600041707356,108.39685039520263,Financial ,51.18,3.96,19.97,9.1,-0.7,4.78,2022-08-19,2022-07-05,100.36128309170157,103.93256018589342,2022-09-19,2022-09-26
SE,53.630001068115234,52.380001068115234,372.7000122070313,58.72200012207031,68.95819984436035,71.68209991455078,83.38860000610352,106.3754500579834,Communication Services ,,,119.6,29.0,-13.3,-3.21,2022-09-22,2022-09-12,76.73833175253596,85.60323867665588,2022-09-19,2022-09-26
PLTR,8.079999923706055,6.440000057220459,29.190000534057617,7.645500063896179,8.73540002822876,8.733800020217895,9.864066677093506,11.214849987030028,Technology ,,,63.81,25.9,58.6,0.19,2022-08-09,2022-09-12,79.64304972863985,89.10459756021237,2022-08-15,2022-09-26
SLGC,2.970000028610229,2.845000028610229,14.720000267028809,3.4565000176429748,4.037200021743774,4.620500001907349,5.59273333231608,6.622899992465973,Healthcare ,,,,-28.8,-64.8,-0.58,2022-09-20,2022-09-08,78.06915331654118,82.30795465880925,2022-09-19,2022-09-26
