Ticker,Price,52-Week-Low,52-Week-High,20-MA,50-MA,100-MA,150-MA,200-MA,Sector,P/E,PEG,P/FCF,Sales Q/Q %,EPS this Y %,EPS next Y %,Death MACD,Golden MACD,MTUM-MA-25,MTUM-EMA-25,Weekly Death MACD,Weekly Golden MACD
AA,39.0099983215332,33.54999923706055,98.08999633789062,40.18449993133545,46.73655128479004,49.238228225708006,58.71849049886068,60.44430688858032,Basic Materials ,7.7,,6.62,28.6,347.0,6.33,2022-08-31,2022-10-05,82.11449265909,88.16047442942275,2022-09-12,2022-10-07
APPN,42.77000045776367,38.77999877929688,104.4499969482422,44.25400009155273,47.508399963378906,47.98070003509522,50.29853337605794,52.21580007553101,Technology ,,,,32.7,-157.4,-0.62,2022-09-22,2022-10-05,87.63399753703715,93.0237726386634,2022-09-19,2022-10-07
LDOS,91.4499969482422,81.06999969482422,111.12000274658205,91.26082077026368,95.60205291748046,98.17302192687988,100.4035590616862,97.98742176055907,Technology ,17.8,2.7,20.93,4.3,20.7,7.08,2022-08-24,2022-10-04,92.23543162079,94.7382397661166,2022-08-22,2022-10-07
LHX,224.32000732421875,200.7100067138672,279.7099914550781,222.7150001525879,229.5667617797852,230.78646423339845,236.15328216552732,231.86421188354493,Industrials ,23.12,4.36,46.64,-11.4,75.1,14.42,2022-09-15,2022-10-06,95.30068720768465,97.11951119353576,2022-09-12,2022-10-07
LOGI,44.02000045776367,43.75,92.44000244140624,46.88035678863525,50.57558807373047,52.49639549255371,57.557164128621416,62.743009395599366,Technology ,13.34,1.48,25.98,-11.6,-31.4,4.18,2022-09-20,2022-09-28,86.41900834167838,91.21324114225352,2022-08-22,2022-10-07
CB,184.67999267578125,171.9600067138672,218.9900054931641,186.44521484375,189.73358795166016,192.74805999755856,197.79202606201173,197.55528465271,Financial ,11.14,0.78,8.03,2.9,147.3,17.54,2022-09-13,2022-10-04,97.64065340629205,97.97751856685984,2022-09-12,2022-10-07
CAT,177.5500030517578,160.60000610351562,237.8999938964844,174.9279998779297,183.95240020751956,188.8260954284668,197.4156658935547,198.9074373626709,Industrials ,14.29,1.21,46.34,10.5,121.2,14.37,2022-08-29,2022-10-04,92.4086298080845,95.19219820933124,2022-09-12,2022-10-07
MRK,87.5999984741211,71.5,95.72000122070312,86.84274826049804,87.55827163696289,88.8197819519043,86.75685979207357,84.1631344985962,Healthcare ,13.36,1.24,29.41,28.0,173.5,7.44,2022-09-21,2022-09-22,97.55425448241566,98.2640724595224,2022-07-18,2022-10-07
MTCH,48.290000915527344,45.994998931884766,182.0,51.80675048828125,58.508100051879886,66.27119960784913,74.53773307800293,85.36509973526,Communication Services ,141.61,6.6,27.25,12.2,-55.9,2.07,2022-09-20,2022-10-04,82.96626186399095,85.78015627009925,2022-09-19,2022-10-07
CZR,37.27999877929688,31.309999465942383,119.80999755859376,39.60449981689453,43.94519966125488,43.90819980621338,52.5640665435791,60.28080003738403,Consumer Cyclical ,,,,12.7,64.9,0.63,2022-09-21,2022-10-06,86.27774418298,91.93135319310107,2022-09-19,2022-10-07
NET,55.38999938964844,38.959999084472656,221.63999938964844,58.73899974822998,63.10479995727539,56.57360004425049,70.59459999084473,79.84124998092652,Technology ,,,,53.9,-109.3,0.09,2022-08-22,2022-10-04,89.99836785140151,100.25383922728696,2022-09-19,2022-10-07
NOW,401.2099914550781,367.7099914550781,707.5999755859375,409.6844970703125,444.4707995605469,452.5822994995117,472.90913330078126,498.5702508544922,Technology ,442.84,16.69,40.92,24.3,93.4,9.25,2022-09-16,2022-10-04,88.50725780684546,92.94259268509316,2022-09-12,2022-10-07
PATH,12.960000038146973,12.119999885559082,59.56999969482422,13.590499877929688,16.42439998626709,17.674900007247924,19.22533334732056,23.72519999027252,Technology ,,,,23.9,-549.6,0.06,2022-08-17,2022-09-28,73.2703663480528,82.90509280915198,2022-08-22,2022-10-07
