Ticker,Price,52-Week-Low,52-Week-High,20-MA,50-MA,100-MA,150-MA,200-MA,Sector,P/E,PEG,P/FCF,Sales Q/Q %,EPS this Y %,EPS next Y %,Death MACD,Golden MACD,MTUM-MA-25,MTUM-EMA-25,Weekly Death MACD,Weekly Golden MACD
LBRDK,75.06999969482422,71.69999694824219,177.67999267578125,76.39550018310547,91.42840042114258,103.91450012207032,111.77493326822916,120.31914978027343,Communication Services ,8.94,,,-1.2,81.2,8.58,2022-08-22,2022-10-05,75.13980511272602,82.04548249612364,2022-08-22,2022-10-21
TCS,5.179999828338623,4.809999942779541,14.25,5.22700002193451,6.101400022506714,6.621800012588501,7.018266671498616,7.592200005054474,Consumer Cyclical ,3.49,0.23,20.91,7.1,38.6,1.2,2022-08-22,2022-10-04,76.70665187762229,85.10500776942877,2022-08-29,2022-10-21
PLD,103.08000183105467,98.02999877929688,174.5399932861328,102.5935001373291,115.87140762329102,119.15283508300782,128.79913111368816,133.60721927642822,Real Estate ,20.58,,110.73,8.8,96.4,3.16,2022-08-22,2022-10-11,81.14787321766352,88.57046779464507,2022-09-12,2022-10-21
KTOS,10.229999542236328,9.0600004196167,23.51000022888184,10.150999975204469,11.95159999847412,13.060300006866456,14.368666674296062,15.221200013160706,Industrials ,,,,9.3,-99.9,0.5,2022-09-23,2022-10-17,78.56693800961978,84.96511252149296,2022-08-22,2022-10-21
CRNT,1.8799999952316284,1.5299999713897705,3.539999961853028,1.8185000002384188,2.055599989891052,2.20379998922348,2.1137333297729493,2.1250499951839448,Technology ,,,,3.1,15.6,0.08,2022-09-22,2022-10-12,82.6486444861884,88.62833605623703,2022-08-15,2022-10-21
PSNL,2.3299999237060547,2.259999990463257,21.690000534057617,2.871249985694885,3.3710999965667723,3.642600009441376,4.509200008710225,6.018150004148484,Healthcare ,,,,-16.1,-23.8,-2.57,2022-10-11,2022-10-03,78.99348867989328,84.09842547515507,2022-10-10,2022-10-21
BFH,30.040000915527344,28.850000381469727,81.64405059814453,31.455499935150147,36.025799903869625,39.35376420974731,44.19951849619547,49.6224216556549,Financial ,3.13,0.61,,14.4,266.9,10.84,2022-10-06,2022-10-13,80.73560067856164,86.26982283519487,2022-09-19,2022-10-21
QSI,2.650000095367432,2.220000028610229,9.100000381469728,2.775249993801117,3.091299991607666,3.152649998664856,3.515033327738444,3.8170749938488,Healthcare ,,,,,82.5,-0.88,2022-10-19,2022-10-18,82.63394668219811,90.79400882025294,2022-10-10,2022-10-21
K,72.23999786376953,59.540000915527344,76.98999786376953,71.84400024414063,72.71191116333007,71.77505462646485,70.16913602193196,68.32236806869507,Consumer Defensive ,16.66,7.25,48.96,8.7,16.4,4.27,2022-10-06,2022-10-12,97.650493839781,99.46249267523356,2022-08-22,2022-10-21
RIOT,5.829999923706055,4.019999980926514,46.27999877929688,6.529250001907348,7.031600017547607,6.5667500305175786,8.761900043487548,10.862750034332276,Technology ,,,,112.5,71.9,0.57,2022-10-10,2022-09-28,87.22923952634008,95.89246677666758,2022-10-17,2022-10-21
