Ticker,Price,52-Week-Low,52-Week-High,20-MA,50-MA,100-MA,150-MA,200-MA,Sector,P/E,PEG,P/FCF,Sales Q/Q %,EPS this Y %,EPS next Y %,Death MACD,Golden MACD,MTUM-MA-25,MTUM-EMA-25,Weekly Death MACD,Weekly Golden MACD
HON,186.88999938964844,167.35000610351562,233.5599975585937,196.62508773803708,185.77389709472652,187.9992532348633,188.1653238932292,192.50419967651368,Industrials | Specialty Industrial Machinery | USA,25.49,2.71,117.24,1.6,17.8,9.67,2022-08-23,2022-07-15,110.72587960785148,104.80685935627204,2022-08-29,2022-07-18
HZNP,60.0,57.84000015258789,120.54000091552734,62.82500057220459,73.78159996032714,83.76869976043702,89.47773307800293,92.1880997657776,Healthcare | Drug Manufacturers - General | Ireland,18.54,1.97,10.41,5.3,25.3,5.35,2022-08-03,2022-08-26,78.54163230484261,83.54496679865478,2022-08-01,2022-07-18
IDCC,47.68999862670898,47.290000915527344,74.2699966430664,53.42300014495849,58.23659957885742,59.485859069824215,61.01678258260091,62.98148124694824,Communication Services | Telecom Services | USA,17.05,0.74,20.22,42.2,22.7,3.33,2022-08-05,2022-08-02,89.1701982545738,92.08990615420385,2022-08-01,2022-07-18
HUBS,315.3599853515625,257.2099914550781,866.0,356.6725021362305,327.2749987792969,341.4125,388.2213334147136,451.0683497619629,Technology | Software - Application | USA,-,-,66.24,35.7,12.6,3.26,2022-08-19,2022-07-20,118.5180953773099,107.76502738215062,2022-07-11,2022-07-18
NCR,30.540000915527344,27.049999237060547,45.91999816894531,32.69200029373169,31.918800239562987,33.199600009918214,35.35113338470459,36.63054999351502,Technology | Information Technology Services | USA,72.71,18.18,5.58,19.1,296.9,3.54,2022-08-17,2022-07-19,106.6683542056763,101.46430540398136,2022-08-29,2022-07-18
CGNT,5.150000095367432,3.910000085830689,28.549999237060547,4.96650002002716,4.724000029563904,5.838799998760224,7.423399999936421,9.744200004339218,Technology | Software - Infrastructure | Israel,-,-,-,-24.7,-203.6,0.06,2022-08-22,2022-08-29,111.2114471736621,98.307212711145,2022-07-04,2022-07-18
HLT,127.48999786376952,108.41000366210938,167.99000549316406,132.8443775177002,124.72790130615236,131.9392960357666,137.063109181722,139.11457302093507,Consumer Cyclical | Lodging | USA,37.01,0.79,38.91,68.5,156.5,5.62,2022-08-22,2022-07-07,113.09994787235252,104.7309329839078,2022-05-02,2022-07-18
BFH,38.04999923706055,34.54999923706055,84.66081237792969,41.19709243774414,40.46875396728515,45.93626384735107,51.29359664916992,55.77135873794556,Financial | Credit Services | USA,3.96,0.77,-,14.4,266.9,11.08,2022-08-24,2022-08-10,101.4296017562308,95.3914266542456,2022-06-06,2022-07-18
HEI,152.22000122070312,122.94000244140624,165.61000061035156,159.0970016479492,148.00432861328125,143.99368797302247,144.70106145222982,144.2906725692749,Industrials | Aerospace & Defense | USA,61.63,4.89,48.39,20.7,-3.5,3.01,2022-08-22,2022-07-05,115.78371318609678,108.87838358841287,2022-08-29,2022-07-18
GWW,555.3099975585938,391.1600036621094,588.6199951171875,570.9254943847657,517.5758984375,499.8070040893555,496.2217948404948,495.9957154846192,Industrials | Industrial Distribution | USA,21.74,1.51,85.35,19.6,54.4,29.48,2022-08-23,2022-07-19,120.39729715761578,112.08671289705414,2022-06-13,2022-07-18
GPN,124.0500030517578,105.5199966430664,175.72999572753906,129.93800048828126,122.63840011596676,124.24620895385742,128.4118970743815,129.75276859283449,Industrials | Specialty Business Services | USA,674.18,42.47,17.41,6.7,69.0,10.91,2022-08-22,2022-06-27,112.22988998518056,105.64333931150487,2022-06-06,2022-07-18
AMD,80.23999786376953,71.5999984741211,164.4600067138672,93.93850021362304,88.91439971923828,91.09499984741213,98.79833328247072,108.98089992523194,Technology | Semiconductors | USA,33.74,1.26,39.91,70.1,24.7,4.89,2022-08-17,2022-07-13,116.12779450126033,105.41858434862102,2022-08-29,2022-07-18
NXPI,162.38999938964844,140.3300018310547,239.91000366210932,175.2565010070801,169.60020080566406,172.2416276550293,176.876472269694,187.14358360290527,Technology | Semiconductors | Netherlands,17.73,1.6,14.52,27.6,30.8,13.71,2022-08-17,2022-08-15,109.86370808886906,103.04433072032649,2022-08-22,2022-07-18
TCS,6.670000076293945,6.190000057220459,14.25,7.285000014305115,7.117400026321411,7.336899995803833,7.749666662216186,8.554650003910064,Consumer Cyclical | Specialty Retail | USA,4.5,0.29,26.8,7.1,38.6,1.2,2022-08-22,2022-08-11,105.70374998844127,100.79081931455713,2022-08-29,2022-07-18
TENB,37.43000030517578,36.2400016784668,63.61000061035156,41.61450023651123,44.18720016479492,47.60599994659424,49.53739992777506,49.84895000457764,Technology | Software - Infrastructure | USA,-,-,45.38,26.1,-3.7,0.39,2022-08-29,2022-08-08,88.79461515955809,91.96982752509936,2022-07-25,2022-07-18
FWONK,63.79999923706055,48.5099983215332,71.16999816894531,67.47999935150146,64.78279975891114,63.6201997756958,63.330066502889,62.73664981842041,Communication Services | Broadcasting | USA,-,-,-,100.0,114.6,0.68,2022-08-23,2022-07-20,107.91038914335692,105.00414972399948,2022-08-29,2022-07-18
AMAT,91.23999786376952,82.66999816894531,167.05999755859375,101.92923431396484,99.0416798400879,104.01163917541504,113.00940999348958,122.05735481262208,Technology | Semiconductor Equipment & Materials | USA,12.21,0.99,19.48,5.2,63.4,8.04,2022-08-17,2022-07-08,109.25811038800644,101.49018199439568,2022-08-29,2022-07-18
YOU,23.21999931335449,18.790000915527344,54.26599884033203,26.448000049591062,24.315599937438964,25.889899978637697,25.69326667785645,26.31650005340576,Technology | Software - Application | USA,-,-,30.19,86.1,-277.3,0.23,2022-08-22,2022-07-06,120.32133824162842,108.01702452905356,2022-08-22,2022-07-18
GWRE,68.51000213623047,67.43000030517578,130.9499969482422,76.43350028991699,75.51719924926758,78.21499977111816,82.9197331237793,89.82839981079101,Technology | Software - Application | USA,-,-,-,20.4,-238.1,-0.2,2022-08-19,2022-07-20,103.9044002447107,99.8744724880686,2022-08-22,2022-07-18
RSG,142.7899932861328,113.56999969482422,148.25999450683594,144.98550033569336,137.26564102172853,133.9274320220947,131.3590400695801,131.69148330688478,Industrials | Waste Management | USA,32.73,2.86,48.4,21.4,33.6,5.35,2022-08-23,2022-07-21,110.27804083752795,106.70715997954692,2022-06-06,2022-07-18
SEDG,267.1199951171875,200.8600006103516,389.7099914550781,299.0294937133789,296.8991955566406,281.7594981384277,285.5738656616211,285.5213495635986,Technology | Solar | Israel,104.18,3.65,-,-17.8,15.2,9.1,2022-08-08,2022-07-19,106.49812471561056,104.02373696476056,2022-08-15,2022-07-18
MANH,136.8800048828125,106.0199966430664,188.5200042724609,146.41949844360352,132.8963998413086,128.15729972839355,129.979066212972,134.54754962921143,Technology | Software - Application | USA,73.75,4.92,49.03,15.5,26.6,2.63,2022-08-22,2022-07-21,121.85669656089831,112.87558007298188,2022-07-11,2022-07-18
MPWR,424.4200134277344,348.0199890136719,580.0,497.86499938964846,455.4800140380859,438.6068167114258,438.44940877278646,449.41276931762695,Technology | Semiconductors | USA,60.91,2.44,78.03,57.2,44.5,14.2,2022-08-18,2022-07-12,123.01540116428208,111.9205237168768,2022-08-29,2022-07-18
MQ,7.159999847412109,6.050000190734863,37.900001525878906,8.210749959945678,8.79649998664856,9.257649993896484,9.75810000737508,11.534974994659423,Technology | Software - Infrastructure | USA,-,-,163.11,52.7,-402.4,-0.31,2022-08-11,2022-07-19,98.39446130868332,94.500589687737,2022-08-15,2022-07-18
PERI,20.299999237060547,16.40999984741211,33.09000015258789,20.94950008392334,19.734199905395503,20.01899991989136,20.753866602579752,21.181649951934816,Communication Services | Internet Content & Information | Israel,13.94,-,9.87,33.7,188.2,1.65,2022-08-19,2022-07-19,111.77627152016396,105.8646344875948,2022-04-25,2022-07-18
MMC,160.27000427246094,142.8000030517578,183.13999938964844,168.06849975585936,161.20610809326172,159.8245265197754,159.03110382080078,160.427841796875,Financial | Insurance Brokers | USA,24.18,2.95,46.17,7.2,55.6,7.46,2022-08-22,2022-07-21,107.5367677614083,104.50940395102106,2022-08-29,2022-07-18
MLI,62.380001068115234,40.150001525878906,70.37999725341797,66.60924644470215,61.69064682006836,57.87204509735108,57.11255470275879,57.005880432128905,Industrials | Metal Fabrication | USA,5.35,0.45,7.84,13.6,233.5,7.25,2022-08-12,2022-07-15,118.49743982263232,111.44613101398552,2022-08-29,2022-07-18
ATVI,77.52999877929688,56.400001525878906,86.9000015258789,79.73549995422363,79.06500015258788,78.2520997619629,78.78392623901367,75.41216207504273,Communication Services | Electronic Gaming & Multimedia | USA,32.4,2.99,31.91,-28.4,21.9,3.82,2022-08-15,2022-07-19,101.99742049515348,101.34769906120192,2022-08-22,2022-07-18
PLAB,15.369999885559082,12.18000030517578,25.809999465942383,22.182499980926515,21.37400001525879,19.466400051116945,18.82393339157105,18.342100038528443,Technology | Semiconductor Equipment & Materials | USA,9.25,0.92,13.34,28.0,73.1,2.13,2022-08-16,2022-08-12,113.84612992666888,108.9167145749496,2022-08-22,2022-07-18
MGA,56.41999816894531,52.470001220703125,90.1500015258789,60.9645299911499,59.48609573364258,59.98565017700195,62.55013102213542,66.78968063354492,Consumer Cyclical | Auto Parts | Canada,24.96,0.63,43.2,3.6,98.4,7.14,2022-08-18,2022-08-10,106.29114696660952,101.66097352271512,2022-08-22,2022-07-18
MDLZ,60.72999954223633,57.630001068115234,69.47000122070312,63.86500015258789,63.10979133605957,63.00503154754639,63.11630427042643,63.22455144882202,Consumer Defensive | Confectioners | USA,22.04,4.21,57.82,9.5,23.4,3.16,2022-08-22,2022-08-15,102.84961434445296,101.49198682804412,2022-08-22,2022-07-18
PAYX,120.9000015258789,106.5500030517578,141.9199981689453,132.1089988708496,124.64265090942382,123.9600693511963,123.63023788452148,123.49198150634766,Industrials | Staffing & Employment Services | USA,31.52,2.31,90.29,11.2,26.6,4.42,2022-08-24,2022-07-19,110.7712069912544,105.67642972519236,2022-08-29,2022-07-18
BECN,53.36000061035156,45.709999084472656,65.30000305175781,58.90450019836426,57.08860000610352,58.37830005645752,58.232200088500974,57.37745006561279,Industrials | Building Products & Equipment | USA,10.08,1.14,-,26.0,-73.0,6.14,2022-08-22,2022-08-16,108.31965670236195,103.00245342832972,2022-08-29,2022-07-18
MAR,154.22999572753906,131.00999450683594,195.8999938964844,159.3852783203125,151.7057083129883,159.35081939697267,162.2106953938802,161.0258309173584,Consumer Cyclical | Lodging | USA,29.17,0.7,26.76,69.5,507.2,7.6,2022-08-22,2022-07-07,110.61699824174946,103.45996965795274,2022-06-06,2022-07-18
LRCX,430.2099914550781,375.8699951171875,731.8499755859375,474.9260009765625,459.5411999511719,466.9799615478516,491.7874918619792,535.3255661010742,Technology | Semiconductor Equipment & Materials | USA,13.14,1.71,34.05,11.8,21.8,35.7,2022-08-17,2022-07-13,111.67377517458029,103.63614593626494,2022-08-22,2022-07-18
AOSL,36.0099983215332,26.280000686645508,69.98999786376953,40.448499870300296,38.08939994812012,39.34730003356933,43.76406664530436,45.46400001525879,Technology | Semiconductors | USA,2.25,0.13,5.29,20.1,902.5,5.34,2022-08-26,2022-08-25,116.7683518097615,106.47594890262415,2022-08-29,2022-07-18
