Ticker,Price,52-Week-Low,52-Week-High,20-MA,50-MA,100-MA,150-MA,200-MA,Sector,P/E,PEG,P/FCF,Sales Q/Q %,EPS this Y %,EPS next Y %,Death MACD,Golden MACD,MTUM-MA-25,MTUM-EMA-25,Weekly Death MACD,Weekly Golden MACD
MYNA,6.210000038146973,,,5.127200031280518,6.564880046844483,7.30223002910614,8.240933338801065,8.83695501089096,Technology ,,,,-43.6,,,2022-08-03,2022-10-04,67.34245520592141,79.0154486818413,2022-09-19 00:00:00,2022-10-19 00:00:00
CNXC,118.11000061035156,108.56999969482422,208.47999572753903,118.06699981689454,123.94100006103515,131.58092346191407,141.12571166992188,153.02845573425293,Technology ,13.69,1.16,16.73,13.0,141.2,12.84,2022-09-13,2022-10-04,91.52344594806682,93.70559505867512,2022-03-28 00:00:00,2022-10-19 00:00:00
CCSI,50.84000015258789,37.75,69.30999755859375,49.30449981689453,51.01099983215332,49.57799995422364,51.176066640218096,52.72520002365113,Technology ,11.6,,,-73.1,-20.5,5.8,2022-09-30,2022-10-04,94.68326015535943,98.74786887120018,2022-09-26 00:00:00,2022-10-19 00:00:00
CISO,3.180000066757202,,,2.9075000166893004,2.8466000032424925,3.7129500007629392,4.228200001716614,,Technology ,,,,286.2,-975.5,,2022-08-30,2022-09-16,100.99998099104302,97.52833694080762,2022-06-27 00:00:00,2022-10-17 00:00:00
CLBT,4.409999847412109,3.799999952316284,11.399999618530272,4.19625004529953,4.560800032615662,4.9154999995231625,5.151933325131735,5.507999988794327,Technology ,5.62,1.1,,5.7,-70.8,0.15,2022-08-11,2022-10-04,86.42770037914352,90.25564769983528,2022-09-26 00:00:00,2022-10-17 00:00:00
MYPS,3.990000009536743,3.240000009536743,6.599999904632568,3.649500012397766,3.681400008201599,4.2154500198364255,4.532633339564006,4.492674998044968,Communication Services ,,,16.12,-3.4,-15.6,0.0,2022-08-24,2022-09-12,96.93128878787738,96.2405103449396,2022-06-27 00:00:00,2022-10-17 00:00:00
SLGC,2.7300000190734863,2.625,14.720000267028809,2.958500015735626,3.48560001373291,4.284300010204316,5.096933334668478,6.05794999241829,Healthcare ,,,,-28.8,-64.8,-0.58,2022-09-20,2022-10-04,78.06503540452229,80.09804684967006,2022-09-26 00:00:00,2022-10-17 00:00:00
FORG,22.540000915527344,11.937999725341797,36.0,17.670500087738038,17.800200004577636,19.36970003128052,19.51233340581258,18.613000082969663,Technology ,,,,8.4,-117.3,-0.15,2022-09-20,2022-10-03,96.02805019597524,98.11823472813562,2022-08-29 00:00:00,2022-10-10 00:00:00
MLNK,17.020000457763672,13.8100004196167,26.39999961853028,16.929499912261964,17.275999984741212,17.35140001296997,17.40699996948242,17.709299955368042,Technology ,,,15.97,6.6,-54.9,0.47,2022-09-15,2022-09-29,95.83867435028128,97.92994462364246,2022-09-26 00:00:00,2022-10-03 00:00:00
PLTK,9.460000038146973,9.079999923706056,30.0,9.8875,10.522800025939942,11.83120002746582,13.587666676839191,14.585800008773804,Communication Services ,12.87,41.12,7.37,0.1,215.1,0.8,2022-10-13,2022-10-18,90.45315254209628,90.26213294886088,2022-05-09 00:00:00,2022-10-03 00:00:00
IOT,11.449999809265137,,,12.048000049591064,13.49160005569458,13.277700042724607,13.34306671142578,14.83750002861023,Technology ,,,,52.0,-67.2,-0.17,2022-10-13,2022-09-29,82.62756400435902,92.07168479234592,2022-10-10 00:00:00,2022-10-03 00:00:00
SMWB,6.21999979019165,5.679999828338623,21.40999984741211,6.2664999723434445,7.285999984741211,8.109200005531312,9.40666667620341,10.649300005435943,Communication Services ,,,,46.5,-322.1,-0.91,2022-09-19,2022-10-05,79.55723261685661,84.32370185888124,2022-09-26 00:00:00,2022-10-03 00:00:00
SNTI,2.759999990463257,1.2000000476837158,10.350000381469728,3.07600000500679,2.427199995517731,2.8822499895095826,5.223233308792114,6.384550001621246,Healthcare ,,,,1433.3,,,2022-10-17,2022-09-29,138.1562986787829,126.19851710254233,2022-05-30 00:00:00,2022-09-12 00:00:00
KNBE,24.479999542236328,13.779999732971191,29.5,22.44849987030029,20.71499988555908,18.83219994544983,19.605399990081786,20.007899956703184,Technology ,582.86,,51.47,36.0,-592.3,0.26,2022-10-11,2022-10-12,113.79130749757311,113.79311749301438,2022-05-09 00:00:00,2022-08-08 00:00:00
PUBM,17.43000030517578,14.729999542236328,43.650001525878906,17.308999824523926,18.80919990539551,18.160999927520752,19.97233331044515,21.352600002288817,Technology ,18.19,,14.27,26.8,166.4,0.83,2022-08-23,2022-10-03,85.97195883891612,95.86901203217796,2022-01-10 00:00:00,2022-08-08 00:00:00
FOUR,47.15999984741211,29.38999938964844,79.83499908447266,45.52700004577637,46.35880012512207,41.817800006866456,45.90679996490479,47.12734997749329,Technology ,,,26.42,44.4,-269.7,1.94,2022-10-12,2022-10-19,98.4531894796004,104.98465998020018,2022-05-23 00:00:00,2022-08-01 00:00:00
CWAN,15.609999656677246,11.229999542236328,26.600000381469727,16.216499948501585,15.831200008392337,14.481600027084353,15.858266690572105,16.41205001831055,Technology ,,,102.7,-37.7,81.8,0.27,2022-10-07,2022-09-28,104.92629783515022,106.19256579595142,2022-05-09 00:00:00,2022-08-01 00:00:00
CEG,85.69000244140625,,,84.71849975585937,83.66542114257813,72.12802490234375,67.4754305267334,,Utilities ,43.5,,,26.2,-134.7,4.67,2022-08-24,2022-07-28,103.98113247519676,110.3718792336712,2022-06-20 00:00:00,2022-08-01 00:00:00
ABNB,116.87000274658205,86.70999908447266,212.58399963378903,109.42150115966795,114.66300079345704,110.11720054626466,123.04320058186848,131.57515045166016,Consumer Cyclical ,63.72,1.39,27.8,57.6,92.4,2.56,2022-09-20,2022-10-06,94.32329234518816,98.64265819229142,2022-04-25 00:00:00,2022-08-01 00:00:00
ARQQ,4.059999942779541,3.9800000190734863,41.45600128173828,5.401999998092651,6.02439998626709,6.02069999217987,7.674466683069865,9.751100027561188,Technology ,,,,,,0.28,2022-09-22,2022-09-12,96.39281099667362,95.01748716758192,2021-12-27 00:00:00,2022-07-25 00:00:00
TASK,18.799999237060547,13.600000381469728,74.21199798583984,17.456499814987183,16.60359992980957,18.17259999275208,22.52486665725708,25.38029996395111,Technology ,37.45,2.51,,36.9,-269.7,1.39,2022-09-22,2022-10-03,110.29194855533244,101.6210462554599,2022-04-25 00:00:00,2022-07-25 00:00:00
