Ticker,Price,52-Week-Low,52-Week-High,20-MA,50-MA,100-MA,150-MA,200-MA,Sector,P/E,PEG,P/FCF,Sales Q/Q %,EPS this Y %,EPS next Y %,Death MACD,Golden MACD,MTUM-MA-25,MTUM-EMA-25,Weekly Death MACD,Weekly Golden MACD
RJF,108.13999938964844,84.86000061035156,117.37000274658205,104.8516944885254,104.44369750976564,98.14647102355956,99.72798350016276,100.96396202087402,Financial ,15.39,1.8,2.65,10.6,71.0,9.39,2022-08-23,2022-10-05,100.614217091609,102.75685255200152,2022-09-19,2022-10-05
ELV,478.7999877929688,363.3699951171875,533.6799926757812,470.85550079345705,478.3552130126953,479.3248263549805,482.7475866699219,473.7166316223145,Healthcare ,19.2,1.62,16.86,14.1,37.6,32.52,2022-09-13,2022-10-04,97.7528722758646,98.41502865768642,2022-09-12,2022-10-05
BL,65.19000244140625,49.65999984741211,135.0,64.70050010681152,66.59180000305176,68.0091499710083,68.2503000386556,73.39577499389648,Technology ,,,126.17,25.9,-139.1,0.42,2022-09-16,2022-10-04,95.97423256502718,96.4200331684956,2022-09-19,2022-10-05
FTCH,8.859999656677246,6.519999980926514,47.29999923706055,9.38250012397766,9.31580002784729,8.690499982833863,10.146799980799358,13.61245001554489,Consumer Cyclical ,2.44,,,10.7,132.0,-0.97,2022-09-19,2022-09-09,103.6446568391017,103.22531487890384,2022-09-26,2022-10-05
NVDA,132.08999633789062,119.45999908447266,346.4700012207031,130.3939987182617,155.57408355712892,161.68259475708007,182.91305236816407,201.99853034973145,Technology ,43.31,1.85,56.47,3.0,123.1,4.47,2022-08-19,2022-09-28,74.0619723231343,84.9700952600223,2022-08-22,2022-10-05
BILL,150.50999450683594,89.87000274658203,348.4949951171875,145.40999794006348,149.90339950561523,134.97339981079102,153.99740000406902,169.2092498779297,Technology ,,,,155.7,-169.1,0.61,2022-08-30,2022-10-04,97.45310954514426,101.68979239138692,2022-09-12,2022-10-05
ENV,46.59999847412109,44.33000183105469,85.98999786376953,48.66750030517578,53.20800025939941,55.54360012054443,62.332733357747394,65.31115005493164,Technology ,,,16.3,10.5,513.7,2.33,2022-08-22,2022-10-05,86.35891416672084,91.03053228824976,2022-09-12,2022-10-05
FWONK,63.40999984741211,50.150001525878906,71.16999816894531,61.72149982452392,64.75319969177247,63.14419990539551,63.35173319498698,62.90869985580444,Communication Services ,,,,100.0,114.6,0.68,2022-08-23,2022-10-04,92.2016301196363,96.75942582964096,2022-08-29,2022-10-05
OPEN,3.220000028610229,2.8499999046325684,25.325000762939453,3.702000057697296,4.477300000190735,5.1826500010490415,6.02503333568573,7.311075001955032,Real Estate ,,,,254.1,-138.8,-0.91,2022-09-16,2022-10-04,74.58068250999001,80.2999074623257,2022-09-12,2022-10-05
G,46.130001068115234,37.68000030517578,54.02999877929688,45.06599998474121,46.4223429107666,44.855325851440426,43.8971821085612,45.047835216522216,Technology ,25.67,2.19,28.71,10.2,21.6,3.07,2022-08-09,2022-10-04,95.245171414788,98.97917186409477,2022-08-22,2022-10-05
NWS,16.43000030517578,15.170000076293944,24.75,16.443817710876466,17.205586395263673,16.894640417098998,18.28978354771932,19.27911979198456,Communication Services ,15.65,,,7.3,,,2022-08-22,2022-10-04,92.60850642017937,96.27980323601882,2022-09-12,2022-10-05
OXY,67.73999786376953,26.049999237060547,77.12999725341797,63.52649974822998,65.25327201843261,63.87423278808594,61.78434463500977,55.341662349700925,Energy ,6.64,0.17,5.89,78.3,113.3,8.42,2022-09-02,2022-10-04,98.0361310227072,100.1090245844752,2022-09-05,2022-10-05
ENTG,90.31999969482422,82.5,158.0,91.54949989318848,97.73414672851564,99.4945248413086,106.20614995320638,112.0285401916504,Technology ,26.76,1.59,193.97,21.2,38.4,4.71,2022-09-15,2022-10-05,89.01303943396769,93.3834273978612,2022-09-12,2022-10-05
GOGO,12.899999618530272,11.56999969482422,23.690000534057617,12.69249997138977,14.950599975585938,16.148500022888182,17.085933354695637,16.1043000125885,Communication Services ,8.62,0.86,22.68,18.7,308.5,0.76,2022-08-22,2022-09-29,76.55998517730748,85.55291207617518,2022-08-22,2022-10-05
DE,355.7699890136719,283.8099975585937,446.760009765625,351.60642700195314,355.20613525390627,340.35513946533206,359.7739345296224,361.00112518310544,Industrials ,17.78,1.28,67.36,22.6,118.6,26.14,2022-08-30,2022-10-05,99.5111534237306,101.4434296884778,2022-09-12,2022-10-05
EEFT,81.37000274658203,75.63999938964844,149.9199981689453,83.40299911499024,91.03379959106444,99.25359992980955,107.43433314005534,112.57649982452392,Technology ,32.09,2.14,10.12,18.0,82.9,8.35,2022-09-15,2022-10-04,86.20090513691919,88.97843596110697,2022-08-22,2022-10-05
AAL,12.869999885559082,11.649999618530272,22.350000381469727,13.179500007629397,13.797800006866456,14.331699991226197,15.303533293406169,15.89489996433258,Industrials ,,,,79.5,83.1,1.21,2022-09-22,2022-09-09,91.52722484954592,93.95551613672522,2022-09-19,2022-10-05
NWSA,16.139999389648438,14.869999885559082,25.8700008392334,16.13276963233948,16.91893720626831,16.616085901260377,18.018385105133056,19.02458738803864,Communication Services ,15.37,7.82,13.83,7.3,89.1,1.08,2022-08-19,2022-10-04,92.1689987739906,96.08504031996536,2022-09-12,2022-10-05
L,52.79999923706055,49.36000061035156,68.19999694824219,53.2509994506836,55.35011520385742,57.85064762115479,59.74653223673503,59.73003072738648,Financial ,12.26,0.87,4.54,-12.7,282.6,,2022-09-14,2022-10-04,94.3002757355766,94.82547019836731,2022-09-12,2022-10-05
VTRS,9.18000030517578,8.420000076293945,15.600000381469728,9.120499992370606,9.671990222930908,10.207030906677248,10.246406987508138,11.16458293914795,Healthcare ,14.66,,4.45,-10.1,5.8,3.33,2022-09-13,2022-10-04,90.26267425450182,92.6533375299876,2022-09-12,2022-10-05
GRMN,83.1500015258789,80.22000122070312,173.2899932861328,85.12299842834473,90.69070495605467,95.29011840820311,100.34962142944336,105.92472072601318,Technology ,15.85,2.83,,-6.5,8.4,5.52,2022-09-16,2022-10-04,89.24300154031138,91.53228662051924,2022-08-22,2022-10-05
TWOU,6.144999980926514,5.659999847412109,35.72999954223633,6.866750025749207,7.7631000137329105,8.896250009536743,9.696733328501384,11.152025027275084,Consumer Defensive ,,,2445.71,1.8,19.0,0.38,2022-09-21,2022-09-30,80.9796551210651,84.64990351572551,2022-09-19,2022-10-05
SDGR,26.270000457763672,20.709999084472656,60.38999938964844,26.511999988555907,28.52400005340576,28.08475004196167,28.747233352661134,29.12192502021789,Healthcare ,,,,29.2,-248.9,-1.61,2022-09-21,2022-10-04,87.5407824744759,93.9134204873698,2022-08-15,2022-10-05
WDC,37.16999816894531,31.559999465942383,69.36000061035156,36.37000007629395,42.60660018920898,47.09160015106201,48.23540011088053,50.6871501159668,Technology ,7.82,0.34,15.25,-8.0,78.7,5.26,2022-08-22,2022-10-04,78.33145768691324,85.06490035448005,2022-08-22,2022-10-05
TBLA,1.850000023841858,1.7699999809265137,10.270000457763672,2.0975000083446504,2.443400008678436,2.6700999939441683,3.4050666578610738,4.246550001502037,Communication Services ,25.69,,17.53,4.1,-185.2,0.34,2022-08-19,2022-08-08,80.3267374845932,83.64444544353243,2022-09-19,2022-10-05
AVGO,484.7999877929688,443.6400146484375,677.760009765625,483.7132064819336,510.4181481933594,514.0788180541992,536.9747117106119,549.818062286377,Technology ,21.12,1.39,23.44,24.9,137.1,40.65,2022-08-19,2022-10-05,90.55715374463038,94.64322450814788,2022-08-22,2022-10-05
SMWB,6.53000020980835,5.820000171661377,22.59000015258789,6.93250002861023,7.777800006866455,8.387300019264222,9.845933351516724,11.224300010204315,Communication Services ,,,,50.7,-322.1,-0.91,2022-09-19,2022-10-05,83.16020644821543,86.2828807914901,2022-09-19,2022-10-05
BMBL,24.32999992370605,15.40999984741211,60.5,23.484499835968016,27.97319992065429,29.304700050354004,27.813133341471357,28.32369999885559,Technology ,,,30.47,-38.2,211.2,0.31,2022-09-20,2022-09-29,74.64470676958489,86.05133742479805,2022-08-08,2022-10-05
NABL,9.850000381469728,8.119999885559082,14.40999984741211,9.705000019073486,9.908000049591063,9.786300020217896,9.786200021107993,10.076350030899048,Technology ,133.11,,52.45,7.4,101.5,0.35,2022-09-19,2022-10-04,96.41853916972556,98.77197616134808,2022-09-19,2022-10-05
UAL,35.41999816894531,30.540000915527344,54.52000045776367,35.90600004196167,36.89979999542236,38.53120000839233,40.27666662851969,41.45050002098083,Industrials ,,,8.62,121.4,75.9,5.49,2022-09-21,2022-09-07,95.00361685595614,95.47124583545693,2022-09-19,2022-10-05
TWST,38.5099983215332,25.06999969482422,139.99000549316406,37.8625,42.35500007629395,39.292700061798094,40.17633336385091,45.95174999237061,Healthcare ,,,,60.3,11.7,-4.75,2022-09-13,2022-10-03,82.7563798007096,94.48718542417156,2022-08-22,2022-10-05
MKFG,2.049999952316284,1.7200000286102295,7.690000057220459,2.1984999775886536,2.4081999921798705,2.3283999967575078,2.7599333349863686,3.272399995326996,Technology ,10.73,,,-40.2,136.6,-0.21,2022-09-16,2022-09-13,87.60972211704583,95.20577464423334,2022-09-19,2022-10-05
EXFY,15.600000381469728,,,15.826500082015992,18.37799989700317,18.649399976730347,18.195066604614254,20.972899942398072,Technology ,,,161.61,-33.5,-63.0,0.5,2022-08-19,2022-09-28,78.21439396246893,88.7296446217465,2022-08-22,2022-10-05
CGEN,0.6899999976158142,0.6200000047683716,7.480000019073486,0.8629999876022338,1.1753999948501588,1.5299999928474426,1.951799995104472,2.374899994134903,Healthcare ,,,,,-8.9,-0.51,2022-09-22,2022-10-05,62.95465343798888,69.15104654461744,2022-08-01,2022-10-05
SSNC,51.68000030517578,47.56999969482422,84.8499984741211,51.89449977874756,56.299600982666014,58.2216732788086,62.57064244588216,66.63937622070313,Technology ,19.19,2.44,12.59,5.5,27.6,5.33,2022-09-13,2022-10-04,87.49932263125427,91.19890958746689,2022-08-22,2022-10-05
CERS,3.7899999618530273,3.390000104904175,8.0600004196167,3.788000011444092,4.450400042533874,4.838200027942658,4.946600015958151,5.161050013303757,Healthcare ,,,,25.9,13.0,-0.21,2022-09-22,2022-09-28,76.15150222292812,84.42739918890399,2022-08-08,2022-10-05
MMS,59.0099983215332,56.5,88.12999725341797,59.17150001525879,61.791761322021486,62.1868684387207,65.93328498840332,68.58877614974976,Industrials ,19.7,1.58,10.83,-9.5,37.8,3.36,2022-08-08,2022-10-03,92.6034377133551,95.46798607054944,2022-08-22,2022-10-05
TXN,167.8000030517578,144.4600067138672,202.259994506836,163.75399932861328,170.80115173339843,165.68547912597657,168.07856323242189,169.84015029907226,Technology ,18.35,1.83,89.08,13.8,38.5,8.91,2022-08-17,2022-10-04,92.2948501808628,97.7057881376299,2022-08-22,2022-10-05
TYL,367.2699890136719,300.8500061035156,557.5499877929688,358.3119995117188,379.9925994873047,360.7358999633789,376.5956667073568,401.0661000061035,Technology ,86.97,8.7,36.55,16.0,-18.5,8.06,2022-08-16,2022-10-04,90.1881778146548,97.1790687207294,2022-09-12,2022-10-05
