Ticker,Price,52-Week-Low,52-Week-High,20-MA,50-MA,100-MA,150-MA,200-MA,Sector,P/E,PEG,P/FCF,Sales Q/Q %,EPS this Y %,EPS next Y %,Death MACD,Golden MACD,MTUM-MA-25,MTUM-EMA-25,Weekly Death MACD,Weekly Golden MACD
JNJ,165.0800018310547,155.72000122070312,186.69000244140625,164.72234802246098,168.74782836914062,172.2989486694336,171.85235473632812,170.17830390930175,Healthcare ,24.0,5.9,50.43,3.0,44.7,10.59,2022-08-26,2022-09-07,95.09961495743794,96.56544744560804,2022-07-11,2022-09-15
HCP,31.440000534057614,,,34.28100032806397,35.67579990386963,35.66470001220703,40.99253328959147,,Technology ,,,,51.7,-241.2,-1.02,2022-08-19,2022-06-22,100.78900407036836,99.50917904297712,2022-08-29,2022-09-15
MMS,60.11000061035156,56.5,88.51000213623047,61.44650020599365,62.981860885620115,63.81069793701172,67.57293950398764,69.82345146179199,Industrials ,20.06,1.61,10.85,-9.5,37.8,3.36,2022-08-08,2022-06-21,96.78107963338765,97.26979451509442,2022-08-22,2022-09-15
FOXA,34.560001373291016,31.32500076293945,44.95000076293945,34.20779933929443,34.08143974304199,33.884125366210945,36.022519302368174,36.43518157958985,Communication Services ,16.39,1.81,14.34,4.9,-41.5,3.33,2022-08-23,2022-08-10,102.77047371650545,101.05673000894835,2022-09-12,2022-09-15
FOX,32.029998779296875,28.959999084472656,40.90999984741211,31.627952194213872,31.529458427429198,31.33140586853027,33.188825047810866,33.58205981254578,Communication Services ,12.68,1.38,,7.5,,2.35,2022-08-23,2022-08-10,102.57957953428811,100.99191620654128,2022-09-12,2022-09-15
UPLD,9.65999984741211,9.270000457763672,39.59000015258789,10.374000024795533,11.389800052642824,12.735300035476685,14.213500022888185,15.485074996948242,Technology ,,,7.66,5.1,0.1,1.68,2022-09-01,2022-08-04,86.82093318381314,87.77895836490816,2022-08-29,2022-09-15
UIS,8.869999885559082,8.460000038146973,27.29999923706055,9.277000045776367,11.143400039672851,11.797800006866455,14.755800043741862,15.86905002593994,Technology ,,,11.27,-0.4,-33.7,1.84,2022-08-04,2022-09-09,75.01874365529642,84.00250365090571,2022-08-08,2022-09-15
NIU,5.099999904632568,4.880000114440918,30.10000038146973,5.700000047683716,6.326200046539308,7.239400029182434,8.322866678237915,10.216250011920927,Consumer Cyclical ,25.89,6.28,,-12.4,32.0,0.77,2022-08-29,2022-08-25,88.10124596521233,86.93984738950539,2022-08-29,2022-09-15
BB,6.050000190734862,4.699999809265137,12.390000343322756,6.048000001907349,6.164600009918213,5.927200002670287,6.226333344777425,6.850499994754792,Technology ,,,,-3.4,101.1,-0.18,2022-08-19,2022-09-15,101.93030043374294,101.28331669194786,2022-08-29,2022-09-15
BEAM,60.4900016784668,27.770000457763672,116.91000366210938,55.930000686645506,59.35380027770996,48.11605007171631,52.121033426920576,57.15052507400512,Healthcare ,,,34.56,140433.3,-37.7,-5.41,2022-09-13,2022-09-15,96.36678112196957,110.27002477299992,2022-08-22,2022-09-15
BFH,37.25,34.549999237060554,84.66081237792969,39.1185001373291,40.39198928833008,44.45689792633057,49.58717124938965,54.329734649658214,Financial ,3.88,0.75,,14.4,266.9,11.08,2022-08-24,2022-08-10,98.74325773695129,95.29320852619742,2022-09-12,2022-09-15
PARA,23.04999923706055,21.31999969482422,42.16999816894531,23.72575044631958,24.40985862731934,26.280917358398444,28.809890505472822,29.41509123802185,Communication Services ,4.88,,,18.5,77.5,1.65,2022-08-23,2022-06-30,98.28564006234244,95.35187496454971,2022-08-29,2022-09-15
BIIB,206.72000122070312,187.1600036621093,337.79998779296875,203.66649932861327,210.64499969482418,206.50249969482425,207.60593271891273,213.60394966125492,Healthcare ,14.76,,11.62,-6.7,-58.1,15.82,2022-08-18,2022-09-09,96.486015429088,98.57088156709574,2022-09-12,2022-09-15
DOMO,21.040000915527344,18.170000076293945,95.5,22.8960000038147,27.80099994659424,30.179999885559077,35.725799840291344,38.830199851989754,Technology ,,,,20.2,-10.4,-0.83,2022-08-18,2022-09-13,80.86656576910487,84.9738776858047,2022-08-22,2022-09-15
TARO,32.560001373291016,31.309999465942386,70.80000305175781,33.40450010299683,35.18739994049072,36.23069990158081,39.0405999883016,41.4563999080658,Healthcare ,13.43,,,6.5,115.3,,2022-09-13,2022-09-09,90.83007633209165,93.76571413401504,2022-09-12,2022-09-15
SWKS,100.1999969482422,88.76000213623047,185.42999267578125,101.90764579772949,104.10254669189452,102.99738090515137,111.86370513916016,121.03118560791016,Technology ,12.73,1.32,26.12,10.4,87.0,11.6,2022-08-16,2022-06-27,99.21963894133705,99.10954165401495,2022-09-12,2022-09-15
PLTR,8.010000228881836,6.440000057220459,29.290000915527344,7.876500034332277,9.099400005340577,9.034899997711182,10.175533351898194,11.79699996471405,Technology ,,,61.77,25.9,58.6,0.19,2022-08-09,2022-09-12,83.29882704740828,90.26057656605322,2022-08-15,2022-09-15
SPOT,103.95999908447266,89.02999877929688,305.6000061035156,107.74199905395508,110.48759948730469,107.57809982299804,119.63559977213544,143.74669944763184,Communication Services ,,,75.43,22.9,94.3,-0.61,2022-08-17,2022-07-15,100.45473373987808,99.57297156343284,2022-09-12,2022-09-15
CDNA,18.65999984741211,17.079999923706055,76.9800033569336,19.755499935150148,22.33140003204345,23.72200002670288,28.116600087483725,31.65650001525879,Healthcare ,,,,8.6,-45.8,-0.11,2022-08-11,2022-09-15,84.22862756771643,88.45290610278641,2022-08-15,2022-09-15
