Ticker,Price,52-Week-Low,52-Week-High,20-MA,50-MA,100-MA,150-MA,200-MA,Sector,P/E,PEG,P/FCF,Sales Q/Q %,EPS this Y %,EPS next Y %,Death MACD,Golden MACD,MTUM-MA-25,MTUM-EMA-25,Weekly Death MACD,Weekly Golden MACD
SKLZ,1.0099999904632568,0.9520000219345092,13.130000114440918,1.2389999985694886,1.46139999628067,1.535900000333786,1.946466664473216,2.9911999887228014,Communication Services ,,,,-18.1,4.5,-0.52,2022-08-22,2022-07-05,81.7987569048143,87.86102381293988,2022-09-19,2022-09-23
DOCU,52.38999938964844,51.119998931884766,288.5,57.54500026702881,63.43439987182617,67.49139972686767,77.87813301086426,92.2463998222351,Technology ,,,24.62,21.6,72.8,1.83,2022-09-20,2022-09-12,86.11447306823518,89.91162410065557,2022-09-19,2022-09-23
CRNC,16.350000381469727,15.920000076293944,114.8499984741211,18.60999984741211,22.49699989318848,25.28139995574951,28.07406668345133,37.7116499042511,Technology ,,,84.66,-8.1,332.3,0.83,2022-09-21,2022-09-09,73.04171549891315,81.01473926056464,2022-08-15,2022-09-23
ALLT,3.9700000286102295,3.7300000190734863,16.260000228881836,4.288000011444092,4.789400024414062,5.022800006866455,5.841200008392334,7.058050007820129,Technology ,,,,-7.1,-56.2,-0.55,2022-08-16,2022-07-05,83.5706401338588,88.37941960855093,2022-09-12,2022-09-23
MTTR,3.740000009536743,3.509999990463257,37.59999847412109,4.291499984264374,4.543800010681152,4.578250007629395,5.450033330917359,7.883374996185303,Technology ,,,,-3.4,-692.1,-0.38,2022-08-19,2022-07-05,95.239721129324,96.4273386075413,2022-09-19,2022-09-23
CISO,2.4600000381469727,,,2.502499997615814,2.9696000003814698,4.062749991416931,4.403066663742066,,Technology ,,,,286.2,-975.5,,2022-08-30,2022-09-16,78.91686572679556,79.68150139937208,2022-06-20,2022-09-23
XM,10.130000114440918,10.029999732971191,48.93000030517578,11.587000036239624,12.49140001296997,13.35460000038147,17.892933343251546,21.0973499917984,Technology ,,,,43.0,-278.5,0.02,2022-09-15,2022-09-14,89.73830037509418,90.20011877250522,2022-09-19,2022-09-23
RAMP,18.3799991607666,18.1299991607666,58.7400016784668,19.7810001373291,22.78800014495849,24.769000072479248,29.050866661071776,33.13754990577698,Technology ,,,22.86,19.5,63.6,0.71,2022-08-05,2022-09-08,79.41759012361734,85.2600880663237,2022-08-08,2022-09-23
NXGN,16.90999984741211,13.640000343322754,21.8700008392334,16.97449998855591,17.325399932861327,17.71099994659424,18.52959997812907,18.430949993133545,Healthcare ,,,24.84,4.9,-83.2,1.02,2022-08-31,2022-09-21,97.22542658920048,97.6311680914779,2022-08-22,2022-09-23
WK,63.459999084472656,59.43000030517578,173.24000549316406,67.41500091552734,68.20520034790039,69.03309997558594,81.34066670735677,91.43959995269776,Technology ,,,107.97,24.5,26.1,-0.05,2022-09-16,2022-09-12,100.32007365263549,98.01026929637558,2022-09-19,2022-09-23
TXG,28.90999984741211,28.209999084472656,187.8500061035156,32.523499965667725,37.08999996185303,41.67300004959107,50.4416001256307,66.86285010337829,Healthcare ,,,,-1.0,90.2,-1.14,2022-09-21,2022-09-12,83.00245142125546,84.02468886285381,2022-09-19,2022-09-23
