Ticker,Price,52-Week-Low,52-Week-High,20-MA,50-MA,100-MA,150-MA,200-MA,Sector,P/E,PEG,P/FCF,Sales Q/Q %,EPS this Y %,EPS next Y %,Death MACD,Golden MACD,MTUM-MA-25,MTUM-EMA-25,Weekly Death MACD,Weekly Golden MACD
LBRDK,75.30999755859375,71.69999694824219,177.67999267578125,76.66350021362305,92.25440048217772,104.41550010681152,112.21599990844726,120.71984981536863,Communication Services ,8.97,,,-1.2,81.2,8.58,2022-08-22,2022-10-05,74.99124502947933,82.0394446718987,2022-08-22,2022-10-20
APPN,42.15999984741211,36.5099983215332,104.4499969482422,41.56250019073487,45.29100006103516,47.34810005187988,49.52500005086263,50.948050060272216,Technology ,,,,32.7,-157.4,-0.62,2022-10-11,2022-10-18,88.28682391408131,91.65464747648696,2022-09-19,2022-10-20
CAMT,22.93000030517578,21.1299991607666,49.59999847412109,23.13700008392334,25.59980010986328,26.433500118255616,27.651333440144857,29.594550065994262,Technology ,15.6,6.24,,17.9,148.1,1.74,2022-10-11,2022-10-19,84.65562217141783,90.5034337054018,2022-08-22,2022-10-20
CACI,264.760009765625,238.2899932861328,313.5199890136719,262.7570037841797,272.73240234375,277.5155017089844,279.7252015177409,277.4994506072998,Technology ,17.09,7.12,9.55,5.0,-15.4,20.13,2022-09-23,2022-10-19,95.2101866356724,96.37535238059333,2022-08-08,2022-10-20
NIU,3.0899999141693115,3.0,27.809999465942383,3.791999983787536,4.9704000186920165,6.191300020217896,7.107533343633016,8.552650015354157,Consumer Cyclical ,16.26,5.67,,-12.4,32.0,0.69,2022-08-29,2022-08-25,67.39420045358953,74.02770949552469,2022-08-29,2022-10-20
NNDM,2.3499999046325684,2.1700000762939453,6.744999885559082,2.397500014305115,2.716400008201599,2.962000002861023,3.0046999979019167,3.141974997520447,Technology ,,,,1268.8,28.1,,2022-08-19,2022-09-27,80.37623206152551,87.06439440803109,2022-08-22,2022-10-20
NVTA,2.0299999713897705,1.830000042915344,29.14999961853028,2.37649998664856,3.052000002861023,2.8682000029087065,3.8916666611035664,5.474749985337257,Healthcare ,,,,17.5,59.8,-1.64,2022-10-07,2022-10-05,70.07947124164151,90.10556221364672,2022-10-10,2022-10-20
BMBL,21.59000015258789,15.40999984741211,60.5,22.530999755859376,25.02379981994629,28.80079999923706,27.903933347066243,27.716149969100957,Technology ,,,28.98,-38.2,211.2,0.34,2022-09-20,2022-09-29,82.90428757540413,87.01265535899829,2022-08-08,2022-10-20
OPEN,2.440000057220459,2.2799999713897705,25.325000762939453,2.896750020980835,3.915400018692017,4.714900007247925,5.691600001653035,6.655150003433228,Real Estate ,,,,254.1,-138.8,-0.93,2022-10-14,2022-10-12,63.2604915582767,72.96764241326329,2022-09-12,2022-10-20
BLDE,3.809999942779541,3.4549999237060547,11.59000015258789,3.889250028133392,4.683299956321716,5.1007999682426455,6.068399974505106,6.240699974298477,Industrials ,,,,187.2,101.1,-0.67,2022-10-12,2022-10-17,74.2450056038792,83.05307937308406,2022-08-22,2022-10-20
PFE,42.90999984741211,40.93999862670898,61.709999084472656,43.38899993896485,45.58139999389648,48.14405452728271,49.007408396402994,49.4036622428894,Healthcare ,8.27,,12.34,46.8,233.6,5.22,2022-10-07,2022-10-14,92.11775879352652,93.48353438004786,2022-07-18,2022-10-20
PG,126.98999786376952,122.18000030517578,165.35000610351562,128.2414993286133,136.44519958496093,139.4420932006836,144.044675394694,146.76714332580568,Consumer Defensive ,21.89,4.39,60.24,3.0,5.6,6.28,2022-08-24,2022-10-17,91.01866086413574,93.91142341504506,2022-08-29,2022-10-20
BFH,29.6200008392334,29.290000915527344,82.49800872802734,31.61199979782105,36.306199913024905,39.60172903060913,44.41234648386637,49.81317385673523,Financial ,3.09,0.6,,14.4,266.9,10.84,2022-10-06,2022-10-13,80.93225664676284,86.51463913045365,2022-09-19,2022-10-20
PLAB,15.210000038146973,12.18000030517578,25.809999465942383,15.0574999332428,17.521399993896484,19.286100025177003,18.235933373769125,18.179050030708314,Technology ,9.15,0.92,5.75,28.9,73.1,2.02,2022-08-16,2022-09-22,78.99152886694284,88.29806581694642,2022-08-22,2022-10-20
PLD,102.45999908447266,98.02999877929688,174.5399932861328,102.86949996948242,116.47745162963868,119.37974060058592,129.16534693400064,133.86552555084228,Real Estate ,20.46,,110.06,8.8,96.4,3.16,2022-08-22,2022-10-11,80.90785111254918,88.48594408146094,2022-09-12,2022-10-20
PRNT,19.780000686645508,18.700000762939453,39.93000030517578,19.996750164031983,21.56300003051758,21.885249938964844,23.24071994781494,24.909289932250974,Financial ,,,,,,,2022-10-11,2022-10-17,88.3663190991559,92.98743179417907,2022-09-12,2022-10-20
PSNL,2.369999885559082,2.259999990463257,21.690000534057617,2.908749985694885,3.420699996948242,3.6589000105857847,4.551933341026306,6.068850005865097,Healthcare ,,,,-16.1,-23.8,-2.57,2022-10-11,2022-10-03,79.28881306273182,84.82213594865982,2022-10-10,2022-10-20
ROKU,51.880001068115234,48.53499984741211,350.6000061035156,55.78650035858154,65.15350021362305,75.84484985351563,86.07709986368815,101.42662506103515,Communication Services ,,,,18.5,-291.8,-2.72,2022-10-07,2022-10-20,80.76993214479576,83.16267490641039,2022-09-19,2022-10-20
RPAY,6.119999885559082,5.96999979019165,23.299999237060547,6.860499978065491,8.420700016021728,10.658450021743777,11.64650001525879,12.915274987220764,Technology ,,,10.68,39.3,70.3,0.95,2022-09-20,2022-10-04,73.17315000454019,76.59795229201832,2022-08-08,2022-10-20
